Activity Type,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Commute.1,Average Elapsed Speed,Hour_of_Day,Month,Distance_km,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
Walk,0.9209098077,-0.08467424119,0.2595842783,-0.2797932086,-0.3141360395,0.02573677971,0.0006289313405,0.2438599797,0.2776058405,0.7248189957,0.1360264535,,,0,0,-0.02382295238,0.7717994192,0,0,1.715501378,0,-0.1084891958,0.2737719195,1.45741862,-0.08154333773,1,0,0,0,0,0,0
Walk,0.1646774982,-0.2859624646,-0.2304900983,0.0239398619,-0.6564360129,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.131171944,0,0,-0.4893858179,0,-0.8210813182,1.311993027,1.45741862,-0.2847092537,0,0,1,0,0,0,0
Walk,0.5025685301,-0.2924677982,-0.2723987274,-0.4851973357,-0.362114481,-0.2919556775,-0.287224107,0.6368960689,0.1374964753,-0.7332790383,0.03310057572,,,0,0,-0.02382295238,0.6064761998,0,0,-0.2563489598,0,-0.1666808161,0.7928824732,1.45741862,-0.24412969,0,0,1,0,0,0,0
Walk,0.5186585793,-0.3107581567,-0.3054694823,-0.01820111385,-0.554028247,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.6684724071,0,0,-0.4535339936,0,-0.5617712909,0.9659193244,1.45741862,-0.2770535753,0,0,0,1,0,0,0
Walk,1.146170496,-0.2457991001,-0.2102485156,0.2542575218,-0.1947947061,-0.2316636783,-0.2318677535,0.6737432023,0.2075511579,1.756492133,0.08456351461,,,0,0,-0.02382295238,0.5858107974,0,0,0.4606875266,0,-0.02579584058,0.7928824732,1.45741862,-0.1964157491,0,0,0,1,0,0,0
Walk,1.049630201,-0.06515824014,0.225943338,-0.3134529817,-0.3076851566,0.01414216449,-0.0015853228,0.7228727134,0.2620381332,0.539117831,0.1360264535,,,0,0,-0.02382295238,0.6478070046,0,0,1.787205026,0,-0.1983288903,0.2737719195,1.45741862,-0.08828301567,0,1,0,0,0,0,0
Walk,0.599108825,-0.1469934523,0.08881374219,-0.3839529789,-0.341955472,-0.1829662944,-0.1875826706,0.7105903357,0.2231188651,-0.189931186,0.08456351461,,,0,0,-0.02382295238,0.6064761998,0,0,1.07016854,0,-0.1809734948,0.2737719195,1.45741862,-0.1420366017,0,0,0,0,0,1,0
Walk,0.8726396603,-0.2279801426,-0.1312778336,-0.2335441503,-0.2810752647,-0.1852852174,-0.2296534993,0.5632018022,0.1452803289,1.082465683,0.2389523313,,,0,0,-0.02382295238,0.8957918337,0,0,0.6937243847,0,-0.07990383842,-0.7644491878,1.45741862,-0.1878366231,1,0,0,0,0,0,0
Walk,0.7921894146,-0.3409278202,-0.4266338861,-0.2156541134,-0.00288094007,-0.3615233688,-0.2606530573,0.6983079579,0.4566344737,-1.111559189,-1.253472897,,,0,0,-0.02382295238,0.6684724071,0,0,-0.4893858179,0,0.2784340341,1.485029878,1.45741862,-0.2671711967,1,0,0,0,0,0,0
Walk,0.7278292181,-0.3099096349,-0.366764416,0.1222688053,-0.187940643,-0.1922419865,-0.3137951567,0.1456009574,0.1297126217,1.715225207,1.010896415,,,0,0,-0.02382295238,0.5651453949,0,0,-0.2563489598,0,-0.1064473845,-0.5914123365,1.45741862,-0.2536769465,0,0,1,0,0,0,0
Walk,0.5186585793,-0.1699978206,0.03692686811,-0.3661954608,-0.3161519404,0.0002286262157,-0.008228085223,0.6123313133,0.2698219868,0.050792546,0.08456351461,,,0,0,-0.02382295238,0.4824837852,0,0,1.016390804,0,-0.1115519126,0.4468087707,1.45741862,-0.1472868481,0,0,1,0,0,0,0
Walk,0.7278292181,0.01780833436,0.2592991856,-0.3704360621,-0.3246187242,-0.07861475732,-0.09458399672,0.4895075355,0.2309027187,0.4290726963,0.1360264535,,,0,0,-0.02382295238,0.5031491877,0,0,1.858908675,0,-0.3831128074,0.619845622,1.45741862,-0.08676379545,0,0,0,1,0,0,0
Walk,0.1646774982,-0.3024614993,-0.3388253299,-0.5633834228,-0.2899452287,-0.2618096779,-0.2672958197,0.6737432023,0.1608480362,-0.1280307978,0.03310057572,,,0,0,-0.02382295238,0.3378259683,0,0,-0.274274872,0,-0.212621569,-1.11052289,1.45741862,-0.2539227027,0,1,0,0,0,0,0
Walk,0.840459562,-0.1778230771,-0.01068361525,-0.04656013527,-0.317361481,-0.1968798326,-0.1720828917,0.6737432023,0.1608480362,-0.2518315742,0.03310057572,,,0,0,-0.02382295238,0.7304686143,0,0,0.8550575941,0,-0.1666808161,0.2737719195,1.45741862,-0.16161518,0,1,0,0,0,0,0
Walk,0.7760993655,-0.3291427954,-0.3832997934,-0.4255638794,-0.1145618501,-0.1087607569,-0.1366548254,0.7105903357,0.8536110083,-0.07300823046,0.1874893924,,,0,0,-0.02382295238,0.6064761998,0,0,-0.3101266963,0,0.2886430902,-0.7644491878,1.45741862,-0.2542801663,0,0,0,0,0,1,0
Walk,0.4703884319,-0.1650952503,0.07256345745,-0.4844022229,-0.3738067063,-0.1551392178,-0.1543688585,0.7228727134,0.2386865724,0.1745933225,0.08456351461,,,0,0,-0.02382295238,0.5858107974,0,0,0.8550575941,0,-0.2034334184,0.2737719195,1.45741862,-0.1584352435,0,0,0,0,0,1,0
Walk,0.3899381862,-0.2930334794,-0.283802436,-0.4270215862,-0.2903484089,-0.2641286009,-0.2783670904,0.6614608245,0.1530641826,-0.5613335154,0.1360264535,,,0,0,-0.02382295238,0.4824837852,0,0,-0.1487934869,0,-0.04825576422,-0.4183754853,1.45741862,-0.2370325485,0,0,0,0,0,0,1
Walk,0.7760993655,-0.08495708178,0.2980717948,-0.3638101225,-0.3439713729,0.02109893362,0.02055721861,0.5263546688,0.2853896941,-0.2380759324,0.08456351461,,,0,0,-0.02382295238,0.7098032119,0,0,1.607945905,0,-0.1258445913,0.2737719195,1.45741862,-0.08575842912,0,0,0,0,0,0,1
Walk,1.130080447,-0.3554469707,-0.4406034291,-0.3436672662,0.8300893132,-0.3313773692,-0.3315091898,0.7105903357,0.1063610608,-1.070292263,-0.06982530207,,,0,0,-0.02382295238,1.474423102,0,0,-0.1487934869,0,2.942997701,1.485029878,1.45741862,-0.2416125506,0,0,0,0,1,0,0
Walk,0.8726396603,-0.2480618248,-0.200840456,-0.3676531675,-0.2492240304,-0.2525339857,-0.2385105159,0.7105903357,0.246470426,-0.3893879925,0.03310057572,,,0,0,-0.02382295238,0.5031491877,0,0,0.2993543172,0,-0.0788829328,-1.11052289,1.45741862,-0.2035128906,0,0,0,0,1,0,0
Walk,0.5025685301,-0.3169806498,-0.3989798927,-0.4842697042,-0.2391445259,-0.3383341384,-0.3625087478,0.7228727134,0.1141449145,-0.06613040955,0.2389523313,,,0,0,-0.02382295238,0.5651453949,0,0,-0.5790153787,0,-0.3290048096,-0.7644491878,1.45741862,-0.2691000106,1,0,0,0,0,0,0
